Code,Trouble Code System,Condition Description,Common Fixes
P0000,Powertrain,ISO/SAE Reserved,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0001,Powertrain,Fuel Volume Regulator Control Circuit/Open,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0002,Powertrain,Fuel Volume Regulator Control Circuit Range/Performance,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0003,Powertrain,Fuel Volume Regulator Control Circuit Low,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0004,Powertrain,Fuel Volume Regulator Control Circuit High,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0005,Powertrain,Fuel Shutoff Valve Control Circuit/Open,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0006,Powertrain,Fuel Shutoff Valve Control Circuit Low,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0007,Powertrain,Fuel Shutoff Valve Control Circuit High,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0008,Powertrain,Engine Positions System Performance Bank 1,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0009,Powertrain,Engine Position System Performance Bank 2,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P000A,Powertrain,Camshaft Position Slow Response Bank 1,Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P000B,Powertrain,Camshaft Position Slow Response Bank 1,Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P000C,Powertrain,Camshaft Position Slow Response Bank 2,Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P000D,Powertrain,Camshaft Position Slow Response Bank 2,Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P000E,Powertrain,Fuel Volume Regulator Control Exceeded Learning Limit,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P000F,Powertrain,Fuel System Over Pressure Relief Valve Activated,Inspect wiring and connectors; test related sensor/actuator; check for vacuum leaks; scan for related codes,"Wiring fault, sensor failure, actuator issue, poor connections, PCM related"
P0010,Powertrain,Camshaft Position Actuator Circuit(Bank 1),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P0011,Powertrain,Camshaft Position - Timing Over-Advanced or System Performance(Bank 1),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P0012,Powertrain,Camshaft Position - Timing Over-Retarded (Bank 1),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P0013,Powertrain,Camshaft Position - Actuator Circuit (Bank 1),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P0014,Powertrain,Camshaft Position - Timing Over-Advanced or System Performance(Bank 1),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P0015,Powertrain,Camshaft Position -Timing Over-Retarded (Bank 1),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P0016,Powertrain,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor A),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P0017,Powertrain,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor B),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P0018,Powertrain,Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor A),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P0019,Powertrain,Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor B),Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
P001A,Powertrain,Camshaft Profile Control Circuit/Open Bank 1,Change engine oil and filter; clean or replace VVT solenoid/actuator; inspect timing chain/belt; check oil pressure,"Low/dirty oil, faulty VVT solenoid, timing issues, wiring problems"
